"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"97","Azerbaijan","Western Asia","Asia",NA,NA,99.8,NA,2.1,0.7,NA,"33.7",1.7,0.3,NA,9676500,0.6753,62.62,76.43,68.03,43.41,72,1.38,2.325,163.33,NA
"98","Bahamas","Caribbean","Americas",NA,NA,NA,4.4,29.8,0.714,NA,NA,2.3,NA,NA,NA,0.7269,NA,NA,NA,NA,75,NA,NA,NA,NA
"99","Bangladesh","Southern Asia","Asia",NA,NA,61.5,NA,2.7,0.447,NA,"32.1",7.8,NA,NA,159528000,0.6973,53.39,61.94,62.73,35.5,70,5.92,1.997,190,28
"100","Barbados","Caribbean","Americas",NA,NA,NA,4.4,7.4,0.74,NA,NA,2.3,3.12,NA,285000,0.7289,NA,NA,NA,NA,78,NA,NA,243.33,NA
"101","Belize","Central America","Americas",NA,NA,82.6,4.4,44.7,0.689,NA,"53.1",2.6,NA,NA,368310,0.6701,NA,NA,65.56,NA,75,NA,NA,230,NA
"102","Benin","Western Africa","Africa",NA,NA,38.4,3.6,8.4,0.414,NA,"43.5",5.7,NA,NA,10315244,NA,50.04,50.41,58.96,40.73,59,0,1.958,180,15.75
"103","Bhutan","Southern Asia","Asia",NA,NA,64.8,NA,1.7,0.421,NA,"38.7",17.8,NA,NA,768100,0.6364,NA,NA,69.17,NA,68,0.31,1.416,253.33,NA
"104","Bosnia and Herzegovina","Southern Europe","Europe",NA,NA,98.4,NA,1.3,0.655,NA,"36.2",10.8,NA,NA,3791622,NA,66.15,85.78,70.35,42.33,77,1.52,1.839,170,NA
"105","Botswana","Southern Africa","Africa",NA,NA,88.4,4.8,18.4,0.619,NA,"61.0",3.8,NA,NA,2141206,0.7129,65.22,65.51,71.69,58.46,62,0,1.597,180,28.44
"106","Brunei Darussalam",NA,NA,NA,NA,96.4,NA,NA,0.692,NA,NA,NA,NA,NA,NA,0.6719,NA,NA,NA,NA,77,NA,NA,NA,NA
"107","Bulgaria","Eastern Europe","Europe",NA,NA,98.3,4.6,1.5,0.749,NA,"34.3",10.8,1.71,NA,7202198,0.7444,70.19,84.73,69.57,56.29,74,2.42,1.607,143.33,NA
